Team,Season,Avg_Squad_Age,Total_Players_Used,Total_Matches_Played
Arsenal,2024-25,25.62,23,14
Aston Villa,2024-25,26.18,23,14
Bournemouth,2024-25,25.24,24,14
Brentford,2024-25,25.21,22,14
Brighton & Hove Albion,2024-25,24.51,28,14
Chelsea,2024-25,23.33,24,14
Crystal Palace,2024-25,26.21,25,14
Everton,2024-25,27.8,24,14
Fulham,2024-25,27.49,23,14
Ipswich Town,2024-25,25.72,28,14
Leicester City,2024-25,26,24,14
Liverpool,2024-25,26.39,23,14
Manchester City,2024-25,27.07,22,14
Manchester United,2024-25,25.9,25,14
Newcastle United,2024-25,26.61,20,14
Nottingham Forest,2024-25,25.88,23,14
Southampton,2024-25,25.61,31,14
Tottenham Hotspur,2024-25,24.83,24,14
West Ham United,2024-25,28.21,23,14
Wolverhampton Wanderers,2024-25,26.37,24,14
